product_key,product_id,product_number,product_name,category_id,category,subcategory,maintenance,cost,product_line,start_date
212,249,FR-R92R-52,HL Road Frame - Red- 52,CO_RF,Components,Road Frames,Yes,869,Road,2013-07-01 00:00:00
213,252,FR-R92R-56,HL Road Frame - Red- 56,CO_RF,Components,Road Frames,Yes,869,Road,2013-07-01 00:00:00
214,240,FR-R92R-62,HL Road Frame - Red- 62,CO_RF,Components,Road Frames,Yes,869,Road,2013-07-01 00:00:00
215,510,FR-T67U-44,LL Touring Frame - Blue- 44,CO_TF,Components,Touring Frames,Yes,200,Touring,2013-07-01 00:00:00
216,502,FR-T67U-50,LL Touring Frame - Blue- 50,CO_TF,Components,Touring Frames,Yes,200,Touring,2013-07-01 00:00:00
217,503,FR-T67U-54,LL Touring Frame - Blue- 54,CO_TF,Components,Touring Frames,Yes,200,Touring,2013-07-01 00:00:00
218,504,FR-T67U-58,LL Touring Frame - Blue- 58,CO_TF,Components,Touring Frames,Yes,200,Touring,2013-07-01 00:00:00
219,505,FR-T67U-62,LL Touring Frame - Blue- 62,CO_TF,Components,Touring Frames,Yes,200,Touring,2013-07-01 00:00:00
220,506,FR-T67Y-44,LL Touring Frame - Yellow- 44,CO_TF,Components,Touring Frames,Yes,200,Touring,2013-07-01 00:00:00
221,507,FR-T67Y-50,LL Touring Frame - Yellow- 50,CO_TF,Components,Touring Frames,Yes,200,Touring,2013-07-01 00:00:00
222,508,FR-T67Y-54,LL Touring Frame - Yellow- 54,CO_TF,Components,Touring Frames,Yes,200,Touring,2013-07-01 00:00:00
223,509,FR-T67Y-58,LL Touring Frame - Yellow- 58,CO_TF,Components,Touring Frames,Yes,200,Touring,2013-07-01 00:00:00
224,493,FR-T67Y-62,LL Touring Frame - Yellow- 62,CO_TF,Components,Touring Frames,Yes,200,Touring,2013-07-01 00:00:00
225,497,FR-T98U-46,HL Touring Frame - Blue- 46,CO_TF,Components,Touring Frames,Yes,602,Touring,2013-07-01 00:00:00
226,498,FR-T98U-50,HL Touring Frame - Blue- 50,CO_TF,Components,Touring Frames,Yes,602,Touring,2013-07-01 00:00:00
227,499,FR-T98U-54,HL Touring Frame - Blue- 54,CO_TF,Components,Touring Frames,Yes,602,Touring,2013-07-01 00:00:00
228,500,FR-T98U-60,HL Touring Frame - Blue- 60,CO_TF,Components,Touring Frames,Yes,602,Touring,2013-07-01 00:00:00
229,494,FR-T98Y-46,HL Touring Frame - Yellow- 46,CO_TF,Components,Touring Frames,Yes,602,Touring,2013-07-01 00:00:00
230,495,FR-T98Y-50,HL Touring Frame - Yellow- 50,CO_TF,Components,Touring Frames,Yes,602,Touring,2013-07-01 00:00:00
231,496,FR-T98Y-54,HL Touring Frame - Yellow- 54,CO_TF,Components,Touring Frames,Yes,602,Touring,2013-07-01 00:00:00
232,492,FR-T98Y-60,HL Touring Frame - Yellow- 60,CO_TF,Components,Touring Frames,Yes,602,Touring,2013-07-01 00:00:00
233,467,GL-H102-L,Half-Finger Gloves- L,CL_GL,Clothing,Gloves,No,9,Other Sales,2013-07-01 00:00:00
234,465,GL-H102-M,Half-Finger Gloves- M,CL_GL,Clothing,Gloves,No,9,Other Sales,2013-07-01 00:00:00
235,463,GL-H102-S,Half-Finger Gloves- S,CL_GL,Clothing,Gloves,No,9,Other Sales,2013-07-01 00:00:00
236,398,HB-M243,LL Mountain Handlebars,CO_HB,Components,Handlebars,No,20,Mountain,2013-07-01 00:00:00
237,400,HB-M763,ML Mountain Handlebars,CO_HB,Components,Handlebars,No,27,Mountain,2013-07-01 00:00:00
238,402,HB-M918,HL Mountain Handlebars,CO_HB,Components,Handlebars,No,53,Mountain,2013-07-01 00:00:00
239,404,HB-R504,LL Road Handlebars,CO_HB,Components,Handlebars,No,20,Road,2013-07-01 00:00:00
240,406,HB-R720,ML Road Handlebars,CO_HB,Components,Handlebars,No,27,Road,2013-07-01 00:00:00
241,408,HB-R956,HL Road Handlebars,CO_HB,Components,Handlebars,No,53,Road,2013-07-01 00:00:00
242,553,HB-T721,LL Touring Handlebars,CO_HB,Components,Handlebars,No,20,Touring,2013-07-01 00:00:00
243,554,HB-T928,HL Touring Handlebars,CO_HB,Components,Handlebars,No,41,Touring,2013-07-01 00:00:00
244,217,HL-U509,Sport-100 Helmet- Black,AC_HE,Accessories,Helmets,Yes,13,Other Sales,2013-07-01 00:00:00
245,222,HL-U509-B,Sport-100 Helmet- Blue,AC_HE,Accessories,Helmets,Yes,13,Other Sales,2013-07-01 00:00:00
246,214,HL-U509-R,Sport-100 Helmet- Red,AC_HE,Accessories,Helmets,Yes,13,Other Sales,2013-07-01 00:00:00
247,487,HY-1023-70,Hydration Pack - 70 oz.,AC_HP,Accessories,Hydration Packs,No,21,Other Sales,2013-07-01 00:00:00
248,234,LJ-0192-L,Long-Sleeve Logo Jersey- L,CL_JE,Clothing,Jerseys,No,38,Other Sales,2013-07-01 00:00:00
249,231,LJ-0192-M,Long-Sleeve Logo Jersey- M,CL_JE,Clothing,Jerseys,No,38,Other Sales,2013-07-01 00:00:00
250,228,LJ-0192-S,Long-Sleeve Logo Jersey- S,CL_JE,Clothing,Jerseys,No,38,Other Sales,2013-07-01 00:00:00
251,237,LJ-0192-X,Long-Sleeve Logo Jersey- XL,CL_JE,Clothing,Jerseys,No,38,Other Sales,2013-07-01 00:00:00
252,542,PD-M282,LL Mountain Pedal,CO_PE,NULL,NULL,NULL,18,Mountain,2013-07-01 00:00:00
253,543,PD-M340,ML Mountain Pedal,CO_PE,NULL,NULL,NULL,28,Mountain,2013-07-01 00:00:00
254,544,PD-M562,HL Mountain Pedal,CO_PE,NULL,NULL,NULL,36,Mountain,2013-07-01 00:00:00
255,545,PD-R347,LL Road Pedal,CO_PE,NULL,NULL,NULL,18,Road,2013-07-01 00:00:00
256,546,PD-R563,ML Road Pedal,CO_PE,NULL,NULL,NULL,28,Road,2013-07-01 00:00:00
257,547,PD-R853,HL Road Pedal,CO_PE,NULL,NULL,NULL,36,Road,2013-07-01 00:00:00
258,548,PD-T852,Touring Pedal,CO_PE,NULL,NULL,NULL,36,Touring,2013-07-01 00:00:00
259,480,PK-7098,Patch Kit/8 Patches,AC_TT,Accessories,Tires and Tubes,Yes,1,Other Sales,2013-07-01 00:00:00
260,483,RA-H123,Hitch Rack - 4-Bike,AC_BR,Accessories,Bike Racks,Yes,45,Other Sales,2013-07-01 00:00:00
261,514,RB-9231,Rear Brakes,CO_BR,Components,Brakes,Yes,47,n/a,2013-07-01 00:00:00
262,501,RD-2308,Rear Derailleur,CO_DE,Components,Derailleurs,Yes,54,n/a,2013-07-01 00:00:00
263,515,SE-M236,LL Mountain Seat/Saddle,CO_SA,Components,Saddles,No,12,Mountain,2013-07-01 00:00:00
264,516,SE-M798,ML Mountain Seat/Saddle,CO_SA,Components,Saddles,No,17,Mountain,2013-07-01 00:00:00
265,517,SE-M940,HL Mountain Seat/Saddle,CO_SA,Components,Saddles,No,23,Mountain,2013-07-01 00:00:00
266,518,SE-R581,LL Road Seat/Saddle,CO_SA,Components,Saddles,No,12,Road,2013-07-01 00:00:00
267,519,SE-R908,ML Road Seat/Saddle,CO_SA,Components,Saddles,No,17,Touring,2013-07-01 00:00:00
268,520,SE-R995,HL Road Seat/Saddle,CO_SA,Components,Saddles,No,23,Road,2013-07-01 00:00:00
269,521,SE-T312,LL Touring Seat/Saddle,CO_SA,Components,Saddles,No,12,Touring,2013-07-01 00:00:00
270,522,SE-T762,ML Touring Seat/Saddle,CO_SA,Components,Saddles,No,17,Touring,2013-07-01 00:00:00
271,523,SE-T924,HL Touring Seat/Saddle,CO_SA,Components,Saddles,No,23,Touring,2013-07-01 00:00:00
272,476,SH-W890-L,Women's Mountain Shorts- L,CL_SH,Clothing,Shorts,No,26,Mountain,2013-07-01 00:00:00
273,475,SH-W890-M,Women's Mountain Shorts- M,CL_SH,Clothing,Shorts,No,26,Mountain,2013-07-01 00:00:00
274,474,SH-W890-S,Women's Mountain Shorts- S,CL_SH,Clothing,Shorts,No,26,Mountain,2013-07-01 00:00:00
275,490,SJ-0194-L,Short-Sleeve Classic Jersey- L,CL_JE,Clothing,Jerseys,No,42,Other Sales,2013-07-01 00:00:00
276,489,SJ-0194-M,Short-Sleeve Classic Jersey- M,CL_JE,Clothing,Jerseys,No,42,Other Sales,2013-07-01 00:00:00
277,488,SJ-0194-S,Short-Sleeve Classic Jersey- S,CL_JE,Clothing,Jerseys,No,42,Other Sales,2013-07-01 00:00:00
278,491,SJ-0194-X,Short-Sleeve Classic Jersey- XL,CL_JE,Clothing,Jerseys,No,42,Other Sales,2013-07-01 00:00:00
279,482,SO-R809-L,Racing Socks- L,CL_SO,Clothing,Socks,No,3,Road,2013-07-01 00:00:00
280,481,SO-R809-M,Racing Socks- M,CL_SO,Clothing,Socks,No,3,Road,2013-07-01 00:00:00
281,486,ST-1401,All-Purpose Bike Stand,AC_BS,Accessories,Bike Stands,No,59,Mountain,2013-07-01 00:00:00
282,535,TI-M267,LL Mountain Tire,AC_TT,Accessories,Tires and Tubes,Yes,9,Mountain,2013-07-01 00:00:00
283,536,TI-M602,ML Mountain Tire,AC_TT,Accessories,Tires and Tubes,Yes,11,Mountain,2013-07-01 00:00:00
284,537,TI-M823,HL Mountain Tire,AC_TT,Accessories,Tires and Tubes,Yes,13,Mountain,2013-07-01 00:00:00
285,538,TI-R092,LL Road Tire,AC_TT,Accessories,Tires and Tubes,Yes,8,Road,2013-07-01 00:00:00
286,539,TI-R628,ML Road Tire,AC_TT,Accessories,Tires and Tubes,Yes,9,Road,2013-07-01 00:00:00
287,540,TI-R982,HL Road Tire,AC_TT,Accessories,Tires and Tubes,Yes,12,Road,2013-07-01 00:00:00
288,541,TI-T723,Touring Tire,AC_TT,Accessories,Tires and Tubes,Yes,11,Touring,2013-07-01 00:00:00
289,528,TT-M928,Mountain Tire Tube,AC_TT,Accessories,Tires and Tubes,Yes,2,Mountain,2013-07-01 00:00:00
290,529,TT-R982,Road Tire Tube,AC_TT,Accessories,Tires and Tubes,Yes,1,Road,2013-07-01 00:00:00
291,530,TT-T092,Touring Tire Tube,AC_TT,Accessories,Tires and Tubes,Yes,2,Touring,2013-07-01 00:00:00
292,473,VE-C304-L,Classic Vest- L,CL_VE,Clothing,Vests,No,24,Other Sales,2013-07-01 00:00:00
293,472,VE-C304-M,Classic Vest- M,CL_VE,Clothing,Vests,No,24,Other Sales,2013-07-01 00:00:00
294,471,VE-C304-S,Classic Vest- S,CL_VE,Clothing,Vests,No,24,Other Sales,2013-07-01 00:00:00
295,477,WB-H098,Water Bottle - 30 oz.,AC_BC,Accessories,Bottles and Cages,No,2,Other Sales,2013-07-01 00:00:00
